# 2023  7 11  0  0 UTC  2023  7 11  0 44 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2023,7,11,0000,59.90,143.74,2.49,0,2,3,1.78,0,13
2,2023,7,11,0000,59.90,143.76,2.49,0,2,3,1.78,0,13
3,2023,7,11,0000,59.88,140.90,2.49,0,3,3,1.36,0,15
4,2023,7,11,0000,59.88,140.92,2.49,0,3,3,1.36,0,15
5,2023,7,11,0000,59.88,140.94,2.49,0,3,3,2.00,0,15
6,2023,7,11,0000,59.88,140.96,2.49,0,3,3,2.00,0,15
7,2023,7,11,0000,59.88,143.74,2.49,0,2,3,1.79,0,13
8,2023,7,11,0000,59.88,143.76,2.49,0,2,3,1.79,0,13
9,2023,7,11,0000,59.86,140.90,2.49,0,3,3,1.36,0,15
10,2023,7,11,0000,59.86,140.92,2.49,0,3,1,1.36,0,15
11,2023,7,11,0000,59.86,140.94,2.49,0,3,3,2.01,0,15
12,2023,7,11,0000,59.86,140.96,2.49,0,3,3,2.01,0,15
13,2023,7,11,0000,59.86,143.74,2.49,0,2,1,1.79,0,13
14,2023,7,11,0000,59.86,143.76,2.49,0,2,1,1.79,0,13
15,2023,7,11,0000,59.84,140.94,2.49,0,3,3,2.01,0,15
16,2023,7,11,0000,58.74,138.04,2.57,0,2,1,1.04,0,16
17,2023,7,11,0000,58.72,131.04,2.57,0,3,3,1.52,0,25
18,2023,7,11,0000,58.72,131.06,2.57,0,3,1,1.12,0,25
19,2023,7,11,0000,58.72,131.08,2.57,0,3,3,1.12,0,25
20,2023,7,11,0000,58.70,131.02,2.58,0,3,3,1.52,0,25
21,2023,7,11,0000,58.70,131.04,2.58,0,3,3,1.52,0,25
22,2023,7,11,0000,58.70,131.06,2.58,0,3,3,1.12,0,25
23,2023,7,11,0000,58.70,131.08,2.58,0,3,3,1.12,0,25
24,2023,7,11,0000,58.68,131.04,2.58,0,3,3,1.53,0,25
25,2023,7,11,0000,58.68,131.06,2.58,0,3,3,1.53,0,25
26,2023,7,11,0000,58.68,131.08,2.58,0,3,3,1.12,0,25
27,2023,7,11,0000,58.68,131.10,2.58,0,3,3,1.12,0,25
28,2023,7,11,0000,58.66,126.90,2.58,0,3,1,1.14,0,28
29,2023,7,11,0000,58.58,130.76,2.58,0,3,3,1.45,0,34
30,2023,7,11,0000,58.58,130.78,2.58,0,3,3,1.45,0,34
31,2023,7,11,0000,58.56,130.76,2.59,0,3,3,1.45,0,34
32,2023,7,11,0000,58.56,130.78,2.59,0,3,3,1.45,0,34
33,2023,7,11,0000,58.54,130.78,2.59,0,3,3,1.46,0,34
34,2023,7,11,0000,58.54,130.80,2.59,0,3,3,1.46,0,34
35,2023,7,11,0000,58.44,125.74,2.59,0,2,5,9.70,0,37
36,2023,7,11,0000,58.44,125.76,2.59,0,2,5,9.70,0,37
37,2023,7,11,0000,58.42,125.76,2.60,0,2,5,9.71,0,37
38,2023,7,11,0000,58.42,125.78,2.60,0,2,5,9.71,0,37
39,2023,7,11,0000,58.40,125.76,2.60,0,2,3,2.04,0,37
40,2023,7,11,0000,58.40,125.78,2.60,0,2,3,2.04,0,37
41,2023,7,11,0000,58.38,125.78,2.60,0,2,3,2.04,0,37
42,2023,7,11,0000,58.38,125.80,2.60,0,2,3,2.04,0,37
43,2023,7,11,0000,58.36,125.78,2.60,0,2,3,2.05,0,37
44,2023,7,11,0000,58.36,125.80,2.60,0,2,3,2.05,0,37
45,2023,7,11,0000,58.34,131.66,2.60,0,2,1,1.43,0,70
46,2023,7,11,0000,58.34,131.68,2.60,0,2,1,1.43,0,70
47,2023,7,11,0000,58.34,131.70,2.60,0,3,3,1.64,0,70
48,2023,7,11,0000,58.34,131.72,2.60,0,3,3,1.64,0,70
49,2023,7,11,0000,58.34,131.74,2.60,0,3,3,1.71,0,70
50,2023,7,11,0000,58.34,131.76,2.60,0,3,3,1.71,0,70
51,2023,7,11,0000,58.32,119.64,2.60,0,2,5,15.58,0,83
52,2023,7,11,0000,58.32,119.66,2.60,0,2,5,15.58,0,83
53,2023,7,11,0000,58.32,131.66,2.60,0,2,3,1.43,0,70
54,2023,7,11,0000,58.32,131.68,2.60,0,2,1,1.43,0,70
55,2023,7,11,0000,58.32,131.70,2.60,0,3,3,1.56,0,70
56,2023,7,11,0000,58.32,131.72,2.60,0,3,3,1.56,0,70
57,2023,7,11,0000,58.32,131.74,2.60,0,3,3,1.65,0,70
58,2023,7,11,0000,58.32,131.76,2.60,0,3,3,1.65,0,70
59,2023,7,11,0000,58.30,119.66,2.60,0,2,5,15.58,0,83
60,2023,7,11,0000,58.30,119.68,2.60,0,2,5,15.58,0,83
61,2023,7,11,0000,58.30,131.68,2.60,0,3,3,1.50,0,70
62,2023,7,11,0000,58.30,131.70,2.60,0,3,3,1.50,0,70
63,2023,7,11,0000,58.30,131.72,2.60,0,3,3,1.84,0,70
64,2023,7,11,0000,58.30,131.74,2.60,0,3,3,1.84,0,70
65,2023,7,11,0000,58.28,119.64,2.61,0,2,3,7.11,0,83
66,2023,7,11,0000,58.28,119.68,2.61,0,2,5,15.58,0,83
67,2023,7,11,0000,58.28,119.70,2.61,0,2,5,15.58,0,83
68,2023,7,11,0000,58.28,131.68,2.61,0,3,3,1.50,0,70
69,2023,7,11,0000,58.28,131.70,2.61,0,3,3,1.50,0,70
70,2023,7,11,0000,58.28,131.72,2.61,0,3,3,1.84,0,70
71,2023,7,11,0000,58.28,131.74,2.61,0,3,3,1.84,0,70
72,2023,7,11,0000,58.26,119.64,2.61,0,2,3,7.11,0,83
73,2023,7,11,0000,58.26,119.66,2.61,0,2,3,7.11,0,83
74,2023,7,11,0000,58.26,119.68,2.61,0,2,5,15.83,0,83
75,2023,7,11,0000,58.26,119.70,2.61,0,2,5,15.83,0,83
76,2023,7,11,0000,58.26,119.72,2.61,0,2,3,10.13,0,83
77,2023,7,11,0000,58.26,119.74,2.61,0,2,3,10.13,0,83
78,2023,7,11,0000,58.26,119.76,2.61,0,2,3,10.13,0,83
79,2023,7,11,0000,58.26,131.78,2.61,0,3,3,1.52,0,79
80,2023,7,11,0000,58.24,119.66,2.61,0,2,3,7.12,0,83
81,2023,7,11,0000,58.24,119.68,2.61,0,2,3,7.13,0,83
82,2023,7,11,0000,58.24,119.70,2.61,0,2,5,15.84,0,83
83,2023,7,11,0000,58.24,119.72,2.61,0,2,5,15.84,0,83
84,2023,7,11,0000,58.24,119.74,2.61,0,2,3,10.13,0,83
85,2023,7,11,0000,58.24,119.76,2.61,0,2,3,10.13,0,83
86,2023,7,11,0000,57.96,121.36,2.63,0,2,5,12.57,0,111
87,2023,7,11,0000,57.96,121.38,2.63,0,2,5,12.57,0,111
88,2023,7,11,0000,57.96,121.40,2.63,0,2,5,24.64,0,111
89,2023,7,11,0000,57.96,121.42,2.63,0,2,5,24.64,0,111
90,2023,7,11,0000,57.96,121.44,2.63,0,2,5,27.23,0,111
91,2023,7,11,0000,57.96,121.46,2.63,0,2,5,27.23,0,111
92,2023,7,11,0000,57.94,121.38,2.63,0,2,5,12.57,0,111
93,2023,7,11,0000,57.94,121.40,2.63,0,2,5,24.64,0,111
94,2023,7,11,0000,57.94,121.42,2.63,0,2,5,24.64,0,111
95,2023,7,11,0000,57.94,121.44,2.63,0,2,5,27.23,0,111
96,2023,7,11,0000,57.94,121.46,2.63,0,2,5,27.23,0,111
97,2023,7,11,0000,57.92,121.38,2.63,0,2,3,11.83,0,111
98,2023,7,11,0000,57.92,121.40,2.63,0,2,3,11.83,0,111
99,2023,7,11,0000,57.92,121.42,2.63,0,2,5,23.51,0,111
100,2023,7,11,0000,57.92,121.44,2.63,0,2,5,23.51,0,111
101,2023,7,11,0000,57.92,121.46,2.63,0,1,5,57.80,0,111
102,2023,7,11,0000,57.92,121.48,2.63,0,1,5,57.81,0,111
103,2023,7,11,0000,57.90,121.40,2.63,0,2,3,11.83,0,111
104,2023,7,11,0000,57.90,121.42,2.63,0,2,3,11.83,0,111
105,2023,7,11,0000,57.90,121.44,2.63,0,2,5,23.51,0,111
106,2023,7,11,0000,57.90,121.46,2.63,0,2,5,23.51,0,111
107,2023,7,11,0000,57.90,121.48,2.63,0,1,5,57.81,0,111
108,2023,7,11,0000,57.90,121.50,2.63,0,1,5,57.81,0,111
109,2023,7,11,0000,57.88,121.44,2.64,0,2,5,23.51,0,111
110,2023,7,11,0000,57.88,121.46,2.64,0,2,5,23.51,0,111
111,2023,7,11,0000,57.88,121.48,2.64,0,1,5,57.81,0,111
112,2023,7,11,0000,57.88,121.50,2.64,0,1,5,57.81,0,111
113,2023,7,11,0000,57.84,132.68,2.64,0,3,3,.73,0,120
114,2023,7,11,0000,57.84,132.70,2.64,0,3,3,.73,0,120
115,2023,7,11,0000,57.82,132.70,2.64,0,3,3,.73,0,120
